ID,Category,Name,Details,URL
154,processor,[RePacked] AMD Ryzen 5 2600 Desktop Processor 6 Cores up to 3.9GHz 19MB Cache AM4 Socket (YD2600BBAFBOX),[RePacked] AMD Ryzen 5 2600 Desktop Processor 6 Cores up to 3.9GHz 19MB Cache AM4 Socket (YD2600BBAFBOX),pcpricetracker.in/gen/products/6b3fb25bcdf1a84c06308cefdc01f464
155,processor,[RePacked] AMD Ryzen 5 3400G Desktop Processor 4 Cores up to 4.2GHz 6MB Cache AM4 Socket,[RePacked] AMD Ryzen 5 3400G Desktop Processor 4 Cores up to 4.2GHz 6MB Cache AM4 Socket,pcpricetracker.in/gen/products/e3ad82b3353204c0cc08b2f1690743f0
156,processor,[RePacked] Intel Core i9-9900K LGA1151 Unlocked Desktop Processor 8 Cores up to 5GHz 16MB Cache,[RePacked] Intel Core i9-9900K LGA1151 Unlocked Desktop Processor 8 Cores up to 5GHz 16MB Cache,pcpricetracker.in/gen/products/48e5b0e26583556c4e476e3903b68594
157,processor,[RePacked] Intel Core i3-9100F LGA1151 Desktop Processor 4 Cores up to 4.20GHz 6MB Cache,[RePacked] Intel Core i3-9100F LGA1151 Desktop Processor 4 Cores up to 4.20GHz 6MB Cache,pcpricetracker.in/gen/products/3e742d6d8231d7b7726c3e08d3140828
158,processor,AMD RYZEN 5 5600X PROCESSOR AND ASUS TUF GAMING X570-PLUS (WI-FI) MOTHERBOARD COMBO,AMD RYZEN 5 5600X PROCESSOR AND ASUS TUF GAMING X570-PLUS (WI-FI) MOTHERBOARD COMBO,pcpricetracker.in/gen/products/b1ebeb9563723313778dd6bbcfc3d667
159,processor,AMD RYZEN 7 5800X PROCESSOR AND ASUS ROG STRIX B550-F GAMING MOTHERBOARD COMBO,AMD RYZEN 7 5800X PROCESSOR AND ASUS ROG STRIX B550-F GAMING MOTHERBOARD COMBO,pcpricetracker.in/gen/products/5014c1a9873b0286494b0149525ae0a0
160,processor,MSI B550M PRO VDH WIFI & AMD RYZEN 5 5600X COMBO,MSI B550M PRO VDH WIFI & AMD RYZEN 5 5600X COMBO @ ,pcpricetracker.in/gen/products/9d14c74704ab3acab13bc315bf1efe63
161,processor,MSI B550 A PRO & AMD RYZEN 5 5600X COMBO,MSI B550 A PRO & AMD RYZEN 5 5600X COMBO @ ,pcpricetracker.in/gen/products/fde6702f4a401efd834ef0e6d909bbf7
162,processor,MSI B550M PRO VDH WIFI & AMD RYZEN 7 5800X COMBO,MSI B550M PRO VDH WIFI & AMD RYZEN 7 5800X COMBO @ ,pcpricetracker.in/gen/products/2a94ab088d8d8831d2d6aa9b6120c2c4
163,processor,MSI B550 A PRO & AMD RYZEN 7 5800X COMBO,MSI B550 A PRO & AMD RYZEN 7 5800X COMBO @ ,pcpricetracker.in/gen/products/3fa4d8a69d502e31053b6123b0c31460
